barcode	filesize	read_length	reads_total	reads_mapped
TCGA-BA-4074-01A-01R-1436-07	8302836124	50	220928619	209031497
TCGA-BA-4075-01A-01R-1436-07	5676734458	48	133211815	129847500
TCGA-BA-4076-01A-01R-1436-07	5545677322	48	130063537	126780186
TCGA-BA-4077-01B-01R-1436-07	5375371101	48	126227402	122867820
TCGA-BA-4078-01A-01R-1436-07	12762897802	50	265547357	255054598
TCGA-BA-5149-01A-01R-1514-07	8201405143	50	188789633	181528826
TCGA-BA-5151-01A-01R-1436-07	11526694051	50	253433256	243461981
TCGA-BA-5152-01A-02R-1873-07	10216505353	50	232720344	220729806
TCGA-BA-5153-01A-01R-1436-07	5065488819	48	116818303	113588728
TCGA-BA-5555-01A-01R-1514-07	7368305307	48	187031083	182787738
TCGA-BA-5556-01A-01R-1514-07	7613003302	48	189609587	185416710
TCGA-BA-5558-01A-01R-1514-07	7107443758	48	182728794	178296042
TCGA-BA-5559-01A-01R-1514-07	8875539813	48	213770639	207623967
TCGA-BA-6869-01A-11R-1873-07	8497573739	48	179402532	171311602
TCGA-BA-6870-01A-11R-1873-07	10453805829	48	229039288	219307265
TCGA-BA-6871-01A-11R-1873-07	9830423170	48	211235932	205168336
TCGA-BA-6872-01A-11R-1873-07	5514328380	48	119930294	116426012
TCGA-BA-6873-01A-11R-1873-07	4720301200	48	98947667	95508461
TCGA-BA-7269-01A-11R-2016-07	7691849591	48	184960562	179436339
TCGA-BA-A4IF-01A-11R-A266-07	6271880006	48	138087008	134538615
TCGA-BA-A4IG-01A-11R-A266-07	6426566438	48	142362280	137500248
TCGA-BA-A4IH-01A-11R-A266-07	7127630251	48	154863734	149753372
TCGA-BA-A4II-01A-11R-A266-07	6678940120	48	146525687	141864878
TCGA-BA-A6D8-01A-31R-A31N-07	5817210799	48	130485974	116852032
TCGA-BA-A6DA-01A-31R-A31N-07	4785700277	48	117082337	95876471
TCGA-BA-A6DB-01A-11R-A30B-07	2936419400	48	58397504	56920454
TCGA-BA-A6DD-01A-12R-A31N-07	6121943191	48	136923233	131043748
TCGA-BA-A6DE-01A-22R-A31N-07	7917953800	48	171830779	166968520
TCGA-BA-A6DG-01A-21R-A30B-07	6653341113	48	144860215	139856439
TCGA-BA-A6DI-01A-11R-A30B-07	8103738860	48	176195735	171975647
TCGA-BA-A6DJ-01A-11R-A30B-07	7125836290	48	155590514	148657201
TCGA-BA-A6DL-01A-21R-A30B-07	8108298962	48	171077434	164853682
TCGA-BB-4217-01A-11R-2081-07	7797503955	48	185485615	174182134
TCGA-BB-4223-01A-01R-1436-07	5462541239	48	125337742	122395774
TCGA-BB-4224-01A-01R-1436-07	6878471393	48	161546408	158106766
TCGA-BB-4225-01A-01R-1436-07	7087851973	50	165321411	159338559
TCGA-BB-4228-01A-01R-1436-07	6564520072	50	154200193	149357498
TCGA-BB-7861-01A-11R-2232-07	7348134201	48	179449426	174434590
TCGA-BB-7862-01A-21R-2232-07	7210437769	48	182325298	178399393
TCGA-BB-7863-01A-11R-2232-07	7613821816	48	192585460	188888109
TCGA-BB-7866-01A-11R-2232-07	6020926120	48	146217231	142680545
TCGA-BB-7870-01A-11R-2232-07	6137135876	48	158378775	154900401
TCGA-BB-7871-01A-11R-2232-07	7783994213	48	188839823	184670004
TCGA-BB-8596-01A-11R-2403-07	3963025834	48	94682866	89121492
TCGA-BB-8601-01A-11R-2403-07	4336418189	48	105300428	100941106
TCGA-BB-A5HU-01A-11R-A28V-07	8800912774	48	172288037	167844690
TCGA-BB-A5HY-01A-11R-A28V-07	7602066687	48	149845790	146320353
TCGA-BB-A5HZ-01A-21R-A28V-07	6177513160	48	132494403	127353820
TCGA-BB-A6UM-01A-12R-A34R-07	7362985512	48	157848843	150961103
TCGA-BB-A6UO-01A-12R-A34R-07	5319246344	48	121972453	109997964
TCGA-C9-A47Z-01A-11R-A24H-07	6432574524	48	141145130	134556647
TCGA-C9-A480-01A-12R-A24H-07	7149200040	48	158748052	153163218
TCGA-CN-4723-01A-01R-1436-07	8161108605	50	186428242	180687501
TCGA-CN-4725-01A-01R-1436-07	9817180074	50	219705243	211371485
TCGA-CN-4726-01A-01R-1436-07	5707466482	48	136265898	133300656
TCGA-CN-4727-01A-01R-1436-07	5273400682	48	124955257	122736015
TCGA-CN-4728-01A-01R-1436-07	6484497798	50	154175542	149180414
TCGA-CN-4729-01A-01R-1436-07	7239434522	50	169527999	163511985
TCGA-CN-4730-01A-01R-1436-07	7195652374	50	173217078	168494546
TCGA-CN-4731-01A-01R-1436-07	6546159030	50	153963289	148059683
TCGA-CN-4733-01A-02R-1873-07	6847433228	48	160828604	153303584
TCGA-CN-4734-01A-01R-1436-07	7652086009	50	176802000	169893340
TCGA-CN-4735-01A-01R-1436-07	7744244939	48	175257788	171643158
TCGA-CN-4736-01A-01R-1436-07	6436209824	48	151043991	148111951
TCGA-CN-4737-01A-01R-1436-07	6360184438	48	147855568	145063477
TCGA-CN-4738-01A-02R-1514-07	7184656194	48	178223366	174298042
TCGA-CN-4739-01A-02R-1514-07	7991614473	48	197742553	192319232
TCGA-CN-4741-01A-01R-1436-07	8618361297	50	192128749	184712981
TCGA-CN-4742-01A-02R-1514-07	7632336240	48	192691700	188182911
TCGA-CN-5355-01A-01R-1436-07	7516555221	50	172227397	164726637
TCGA-CN-5356-01A-01R-1436-07	9458434681	50	212872271	204034248
TCGA-CN-5358-01A-01R-1514-07	6274727954	48	163482365	157826367
TCGA-CN-5359-01A-01R-1436-07	8938924721	50	199208971	191410596
TCGA-CN-5360-01A-01R-1436-07	6088883964	48	142044075	138256598
TCGA-CN-5361-01A-01R-1436-07	6168343886	48	145549751	142918704
TCGA-CN-5363-01A-01R-1436-07	5285177478	48	124913695	122472987
TCGA-CN-5364-01A-01R-1436-07	7526862591	50	174215218	168321708
TCGA-CN-5365-01A-01R-1436-07	8475843336	50	186968761	179585188
TCGA-CN-5366-01A-01R-1436-07	8901408367	50	192636290	185478169
TCGA-CN-5369-01A-01R-1436-07	8726920530	50	188387980	180896989
TCGA-CN-5370-01A-01R-2016-07	9052718150	48	202895880	195456521
TCGA-CN-5373-01A-01R-1436-07	6732635480	48	158645262	155417604
TCGA-CN-5374-01A-01R-1436-07	5661988137	48	134881524	132205310
TCGA-CN-6010-01A-11R-1686-07	7291984558	48	182852509	178620519
TCGA-CN-6011-01A-11R-1686-07	4686900158	48	119475601	117342383
TCGA-CN-6012-01A-11R-1686-07	6112185615	48	152709292	148664556
TCGA-CN-6013-01A-11R-1686-07	6188270957	48	156450760	153018512
TCGA-CN-6016-01A-11R-1686-07	5322378625	48	136447404	133931719
TCGA-CN-6017-01A-11R-1686-07	5007813060	48	128812790	124378787
TCGA-CN-6018-01A-11R-1686-07	5708997818	48	143194125	139918232
TCGA-CN-6019-01A-11R-1686-07	5006062536	48	126477418	123980573
TCGA-CN-6020-01A-11R-1686-07	5456796633	48	147531683	144330951
TCGA-CN-6021-01A-11R-1686-07	6658741050	48	142515402	138504840
TCGA-CN-6022-01A-21R-1686-07	8110517963	48	176247350	172284089
TCGA-CN-6023-01A-11R-1686-07	11985975412	48	276932304	271187370
TCGA-CN-6024-01A-11R-1686-07	6923753077	48	156456853	153670381
TCGA-CN-6988-01A-11R-1915-07	9733670454	48	198938266	194311716
TCGA-CN-6989-01A-11R-1915-07	9432548965	48	196964519	191017769
TCGA-CN-6992-01A-11R-1915-07	11652996724	48	237678439	231158754
TCGA-CN-6994-01A-11R-1915-07	5990524122	48	141681042	137786433
TCGA-CN-6995-01A-31R-2016-07	7114395775	48	158045676	153344286
TCGA-CN-6996-01A-11R-1915-07	8197352840	48	181049801	174391759
TCGA-CN-6997-01A-11R-2016-07	11782793583	48	257001145	249277103
TCGA-CN-6998-01A-23R-2016-07	9964664284	48	219928181	213233703
TCGA-CN-A497-01A-11R-A24H-07	5606295974	48	122403769	118170107
TCGA-CN-A498-01A-11R-A24H-07	6598258528	48	146107356	140898585
TCGA-CN-A499-01A-11R-A24H-07	6764546556	48	140136870	135674179
TCGA-CN-A49A-01A-11R-A24H-07	7481127752	48	154541053	150104592
TCGA-CN-A49B-01A-31R-A24H-07	6535991910	48	139292062	135288392
TCGA-CN-A49C-01A-11R-A24H-07	5917996636	48	128714868	124974532
TCGA-CN-A63T-01A-11R-A28V-07	6636801076	48	142265713	138983576
TCGA-CN-A63U-01A-11R-A30B-07	7404853072	48	155600213	151208708
TCGA-CN-A63W-01A-11R-A30B-07	8050683710	48	169692333	162358018
TCGA-CN-A641-01A-11R-A30B-07	7917086054	48	172691203	168368761
TCGA-CN-A642-01A-12R-A30B-07	6507387981	48	143143618	139134715
TCGA-CN-A6UY-01A-12R-A34R-07	5491146932	48	123855627	118815651
TCGA-CN-A6V1-01A-12R-A34R-07	5819528533	48	130409385	122071735
TCGA-CN-A6V3-01A-12R-A34R-07	8745805165	48	177774031	170171612
TCGA-CN-A6V6-01A-12R-A34R-07	5548213717	48	110476476	99608301
TCGA-CN-A6V7-01A-12R-A34R-07	8428267380	48	176148173	168327652
TCGA-CQ-5323-01A-01R-1686-07	4420529564	48	108105933	105148902
TCGA-CQ-5324-01A-01R-1686-07	4432144025	48	114792332	112342225
TCGA-CQ-5325-01A-01R-1686-07	4277233872	48	91088897	85530268
TCGA-CQ-5326-01A-01R-1873-07	9047640592	48	189659553	174466319
TCGA-CQ-5327-01A-01R-1686-07	7446707405	48	148260067	142562604
TCGA-CQ-5329-01A-01R-1686-07	4211855873	48	105274148	102915645
TCGA-CQ-5330-01A-01R-1686-07	4224327692	48	105169864	103011681
TCGA-CQ-5332-01A-01R-1686-07	4959754744	48	124667337	122274030
TCGA-CQ-5333-01A-01R-2403-07	4454947505	48	108775990	99417361
TCGA-CQ-6218-01A-11R-1915-07	7813936567	48	182997857	179581001
TCGA-CQ-6219-01A-11R-1915-07	6680042509	48	161078918	157688514
TCGA-CQ-6220-01A-11R-1915-07	7101422433	48	143729915	139421622
TCGA-CQ-6221-01A-11R-2081-07	6719913410	48	162525920	153678532
TCGA-CQ-6222-01A-11R-1915-07	7368091785	48	161153935	155497376
TCGA-CQ-6223-01A-11R-1915-07	10518816100	48	222817086	216044960
TCGA-CQ-6224-01A-11R-1915-07	9206892197	48	197900983	191429905
TCGA-CQ-6225-01A-11R-1915-07	8786516045	48	212697322	209431257
TCGA-CQ-6228-01A-11R-1915-07	8361191292	48	194268436	190775602
TCGA-CQ-6229-01A-11R-1915-07	8839312602	48	205690237	201659432
TCGA-CQ-7063-01A-11R-2403-07	4906322175	48	116231015	112561914
TCGA-CQ-7065-01A-11R-2081-07	6909215572	48	167319386	160543340
TCGA-CQ-7067-01A-11R-2232-07	7371441837	48	182198647	178365098
TCGA-CQ-7068-01A-11R-2081-07	8001740504	48	190458770	182079872
TCGA-CQ-7069-01A-11R-2403-07	4412491600	48	103370422	99830949
TCGA-CQ-7071-01A-12R-A30B-07	6923821712	48	144311708	138964455
TCGA-CQ-7072-01A-21R-A30B-07	7743340767	48	158641352	153235328
TCGA-CQ-A4C6-01A-11R-A24Z-07	6992884213	48	152759762	142967527
TCGA-CQ-A4C7-01A-11R-A24Z-07	5336791112	48	125123456	120376872
TCGA-CQ-A4C9-01A-11R-A24Z-07	5263069867	48	122464836	118877165
TCGA-CQ-A4CA-01A-11R-A24Z-07	5211857607	48	125058897	117595265
TCGA-CQ-A4CB-01A-11R-A24Z-07	5484948368	48	127276437	123103919
TCGA-CQ-A4CD-01A-21R-A24Z-07	5639083069	48	130693758	126422888
TCGA-CQ-A4CE-01A-11R-A266-07	6864449132	48	151411167	147271524
TCGA-CQ-A4CG-01A-11R-A266-07	7156663658	48	155955895	151544293
TCGA-CQ-A4CH-01A-11R-A266-07	6815440010	48	148893307	145105130
TCGA-CQ-A4CI-01A-11R-A266-07	6705723694	48	146526393	142621223
TCGA-CR-5243-01A-01R-1514-07	6896416492	48	172579907	167713985
TCGA-CR-5247-01A-01R-2016-07	5734286327	48	133460767	130591369
TCGA-CR-5249-01A-01R-1514-07	6780148290	48	169621351	165138012
TCGA-CR-5250-01A-01R-1514-07	5710280988	48	145014082	140959816
TCGA-CR-6467-01A-11R-1873-07	11570181235	48	249557396	233552714
TCGA-CR-6471-01A-11R-1873-07	8705880177	48	184553017	175546105
TCGA-CR-6472-01A-11R-1873-07	6325786321	48	133648016	129132136
